x,y,charge
     0.27569240,     0.98524531,    -1.00000000
    -0.87987283,     0.88800566,     1.00000000
     0.48802729,     0.54457365,    -1.00000000
     0.87448929,    -0.37652358,     1.00000000
     0.40080492,    -0.93288852,    -1.00000000
     0.27411703,    -0.41816059,     1.00000000
    -0.41246277,     0.94980696,    -1.00000000
    -0.61039436,    -0.24549120,     1.00000000
   -61.21573249,    -6.10182752,    -1.00000000
    -0.20765829,    -0.98710115,     1.00000000
    -0.23527058,     0.33259329,    -1.00000000
     0.92750250,     0.86027252,     1.00000000
     0.54829298,    -0.58205907,    -1.00000000
     0.11285068,     0.13331394,     1.00000000
    -0.08457072,     0.02680798,    -1.00000000
     0.08054730,    -0.96640890,     1.00000000
    -0.72673483,    -0.46641730,    -1.00000000
     0.49626588,    -0.78674165,     1.00000000
    -0.46085445,     0.91206990,    -1.00000000
    -0.15975659,     0.29600471,     1.00000000
     0.31955312,    -0.32217937,    -1.00000000
    -0.81291755,     0.29026938,     1.00000000
     0.81064047,    -0.41393772,    -1.00000000
     0.24068175,     0.91598145,     1.00000000
    -0.33078844,     0.21096773,    -1.00000000
     0.16086471,     0.27123599,     1.00000000
    -0.82168171,     0.58337401,    -1.00000000
    -0.18473841,    -0.00652653,     1.00000000
    -0.58778630,     0.34342356,    -1.00000000
   -57.54232440,    -9.51182677,     1.00000000
    -0.68712551,     0.97683456,    -1.00000000
     0.96276034,     0.42764550,     1.00000000
     0.74119940,    -0.11580172,    -1.00000000
     0.20804515,     0.71525687,     1.00000000
     0.17021177,     0.77765093,    -1.00000000
    -0.99979634,    -0.99986472,     1.00000000
     0.16709587,    -0.68381131,    -1.00000000
     0.77621913,    -0.43931570,     1.00000000
     0.91842600,     0.36815874,    -1.00000000
    -0.87403446,    -0.47910092,     1.00000000
     0.02618171,    -0.03475497,    -1.00000000
    -0.26218437,     0.98937963,     1.00000000
    -0.44824403,    -0.11944667,    -1.00000000
    -0.57747435,    -0.53748744,     1.00000000
     0.95812484,     0.94523842,    -1.00000000
     0.10142925,    -0.66751516,     1.00000000
    -0.37018431,    -0.69666941,    -1.00000000
    -0.86885756,     0.67940354,     1.00000000
    -0.90864909,     0.20963615,    -1.00000000
    -0.72957225,     0.91328840,     1.00000000
