x,y,charge
     0.48402994,     0.92005483,    -1.00000000
    -0.92200224,     0.39197156,     1.00000000
     0.32018632,     0.44456012,    -1.00000000
     0.95297835,    -0.50463664,     1.00000000
    -0.21260533,    -0.85447362,    -1.00000000
     0.31356029,    -0.66917710,     1.00000000
    -0.51721492,    -0.65411627,    -1.00000000
    -0.46141740,     0.02458787,     1.00000000
    -1.21540027,     0.10157889,    -1.00000000
     0.01822397,    -0.81011765,     1.00000000
     0.93119151,    -0.44142550,    -1.00000000
     0.83648858,     0.92306186,     1.00000000
     0.53909555,    -0.33523505,    -1.00000000
    -0.66464454,    -0.05611178,     1.00000000
     0.06747568,    -0.81715160,    -1.00000000
     0.15412814,    -0.91785794,     1.00000000
    -0.29922462,    -0.57751799,    -1.00000000
    -0.65808665,     0.45331476,     1.00000000
     0.04363216,     0.95668230,    -1.00000000
     0.91122790,    -0.09889741,     1.00000000
     0.82485091,     0.65058789,    -1.00000000
    -0.65887279,     0.27587933,     1.00000000
    -0.06236662,    -0.40761839,    -1.00000000
    -0.09821514,     0.99604880,     1.00000000
    -0.73519093,     0.34112216,    -1.00000000
     0.13756919,    -0.31956052,     1.00000000
    -0.33603974,     0.41490467,    -1.00000000
     0.50795292,     0.50214891,     1.00000000
    -0.82690539,    -0.08485132,    -1.00000000
    -0.45753660,    -0.48920885,     1.00000000
    -0.61744601,     0.90532244,    -1.00000000
     0.50340621,    -0.33323213,     1.00000000
    -0.03432013,     0.03126466,    -1.00000000
    -0.63316146,    -0.37951211,     1.00000000
    -0.37944381,     0.31458889,    -1.00000000
    -0.10311535,    -0.54500329,     1.00000000
     0.70577044,    -0.84809045,    -1.00000000
     0.79834429,     0.05817344,     1.00000000
     0.90673142,     0.39683671,    -1.00000000
    -0.83783590,    -0.52912901,     1.00000000
     0.24500214,    -0.25225149,    -1.00000000
    -0.59832096,     0.91247487,     1.00000000
     0.91725474,    -0.84840460,    -1.00000000
    -0.26679220,    -0.20077479,     1.00000000
     0.83363956,     0.84301407,    -1.00000000
     0.59847609,    -0.93394183,     1.00000000
    -0.66772007,    -0.91144165,    -1.00000000
    -0.93873466,     0.87739567,     1.00000000
     0.23637892,     0.25415445,    -1.00000000
    -0.43987107,     0.52345870,     1.00000000
