x,y,charge
     0.39200994,     0.98321012,    -1.00000000
     0.04372877,     0.17558253,     1.00000000
     0.53466254,     0.62016393,    -1.00000000
     0.45743335,    -0.20280448,     1.00000000
     0.38160569,    -0.77472030,    -1.00000000
     0.39231044,    -0.82122274,     1.00000000
     0.67654309,     0.82794446,    -1.00000000
    -0.93335788,     0.25836894,     1.00000000
     0.76662890,     0.64222438,    -1.00000000
    -0.17335346,    -0.99963220,     1.00000000
     0.76544695,    -0.89169403,    -1.00000000
     0.20603688,     0.64711354,     1.00000000
     0.23065459,     0.21428946,    -1.00000000
     0.70567479,    -0.85912426,     1.00000000
     0.29872420,    -0.16488786,    -1.00000000
     0.10963492,    -0.98698533,     1.00000000
    -0.67063703,    -0.32272388,    -1.00000000
     0.32744819,    -0.91691791,     1.00000000
    -0.75349442,     0.82892571,    -1.00000000
     0.60187633,    -0.57886758,     1.00000000
     0.44076543,    -0.51221103,    -1.00000000
    -0.62841288,     0.33864497,     1.00000000
     0.75304277,    -0.70095997,    -1.00000000
     0.05188006,     0.91597886,     1.00000000
     0.39290312,     0.79437213,    -1.00000000
     0.11443206,     0.41596598,     1.00000000
    -0.85838407,     0.56193034,    -1.00000000
    -0.11893463,    -0.01721721,     1.00000000
    -0.74676102,     0.25134791,    -1.00000000
     0.83396527,     0.85255044,     1.00000000
    -0.94312348,     0.89171664,    -1.00000000
     0.88186880,     0.26943790,     1.00000000
     0.73084523,    -0.07479300,    -1.00000000
     0.76835123,     0.91173662,     1.00000000
     0.17275759,     0.57987389,    -1.00000000
    -0.99857736,    -0.98828567,     1.00000000
     0.33264988,    -0.86718364,    -1.00000000
     0.82044275,    -0.36525907,     1.00000000
     0.99533306,     0.52715962,    -1.00000000
     0.58109213,    -0.59119426,     1.00000000
    -0.04934123,     0.01232174,    -1.00000000
    -0.22709372,     0.99806934,     1.00000000
    -0.46373802,    -0.12049793,    -1.00000000
    -0.63264255,    -0.62591772,     1.00000000
     0.96368745,     0.98015905,    -1.00000000
     0.04063497,    -0.65711798,     1.00000000
    -0.35335150,    -0.65572683,    -1.00000000
    -0.99007439,     0.33851751,     1.00000000
    -0.91036230,     0.11633743,    -1.00000000
    -0.47902722,     0.99646352,     1.00000000
