x,y,charge
    -0.72899269,    -0.78735066,    -1.00000000
     0.15010196,     0.55833820,     1.00000000
    -0.44179935,     0.49978576,    -1.00000000
    -0.47317637,     0.79063403,     1.00000000
    -0.14168828,    -0.65480492,    -1.00000000
    -0.74809791,     0.68128030,     1.00000000
     0.34807428,    -8.77233307,    -1.00000000
     0.97525965,    -0.25882646,     1.00000000
    -0.22876859,    -0.99283017,    -1.00000000
    -0.52183880,    -0.75319636,     1.00000000
    -0.11163755,     0.67005999,    -1.00000000
     0.54164513,    -0.20274870,     1.00000000
    -0.00158463,    -0.45700699,    -1.00000000
    -0.55753046,    -0.97171851,     1.00000000
     0.25456119,    -0.10087866,    -1.00000000
    -0.33761695,    -0.38447973,     1.00000000
     0.25459074,    -0.80903169,    -1.00000000
     0.13410019,    -0.21337535,     1.00000000
     0.99471888,     0.99859626,    -1.00000000
    -0.26214564,     0.71126367,     1.00000000
     0.84464051,     0.22923842,    -1.00000000
    -0.76251310,     0.98043281,     1.00000000
     0.15888260,    -0.23258592,    -1.00000000
     0.50723748,    -0.76239059,     1.00000000
     0.69962725,     0.77233283,    -1.00000000
    -0.66645314,    -8.95418409,     1.00000000
     0.36684969,    -0.45870996,    -1.00000000
    -0.15358260,     0.21578104,     1.00000000
     0.78364241,    -0.06137259,    -1.00000000
    -0.09212428,    -0.68898535,     1.00000000
    -0.95541214,    -0.90590783,    -1.00000000
    -0.99060189,     0.86167306,     1.00000000
     0.75255534,    -0.57686328,    -1.00000000
    -0.91524844,     0.83232052,     1.00000000
    -0.98657142,    -0.26634743,    -1.00000000
    -0.90983536,    -0.87438689,     1.00000000
     0.01897660,    -0.37664520,    -1.00000000
    -0.37373284,    -0.02684508,     1.00000000
     0.61469747,     0.13088491,    -1.00000000
     0.78340002,    -0.60795899,     1.00000000
    -0.48584179,    -0.96755203,    -1.00000000
     0.70777459,     0.43633160,     1.00000000
    -0.22407905,    -0.41872196,    -1.00000000
     0.77163466,    -0.05798129,     1.00000000
    -0.45019653,    -0.33779233,    -1.00000000
     0.78362042,    -0.64929018,     1.00000000
     0.99036274,     0.59660122,    -1.00000000
    -0.49401766,     0.55923010,     1.00000000
    -0.03129457,     0.26103581,    -1.00000000
    -0.48767070,     0.99945786,     1.00000000
