x,y,charge
    -0.95789478,    -0.51838830,    -1.00000000
     0.17414939,     0.53992003,     1.00000000
    -0.66375200,     0.57134161,    -1.00000000
    -0.39118332,     0.87380520,     1.00000000
     0.01731626,    -0.91013936,    -1.00000000
    -0.65494165,     0.42813078,     1.00000000
     0.73081672,    -0.39457960,    -1.00000000
     0.95208799,    -0.22649372,     1.00000000
    -0.72480420,    -0.48820538,    -1.00000000
    -0.54268459,    -0.74395446,     1.00000000
    -0.42928048,     0.46562511,    -1.00000000
     0.44437669,    -0.23169697,     1.00000000
    -0.15066547,    -0.53905266,    -1.00000000
     0.71065604,    -0.45540229,     1.00000000
     0.32172089,    -0.03944580,    -1.00000000
    -0.88441634,     0.15280229,     1.00000000
     0.32747042,    -0.78292079,    -1.00000000
     0.90128131,    -0.65798667,     1.00000000
     0.94743178,     0.98655883,    -1.00000000
     0.81653256,     0.86880635,     1.00000000
     0.77787610,     0.47370334,    -1.00000000
    -0.68989062,     0.94415496,     1.00000000
     0.25990094,     0.35040188,    -1.00000000
    -0.08553979,    -0.37371445,     1.00000000
     0.68686488,     0.80567688,    -1.00000000
    -0.80972542,    -0.88565282,     1.00000000
     0.46547252,    -0.41960788,    -1.00000000
    -0.29239291,     0.76583236,     1.00000000
    -0.57260667,     0.20879919,    -1.00000000
    -0.26511075,    -0.47393186,     1.00000000
    -0.66048081,    -0.73833755,    -1.00000000
    -0.99801203,     0.93706860,     1.00000000
     0.76771335,    -0.92005044,    -1.00000000
    -0.17179689,     0.98416241,     1.00000000
    -0.68052841,    -0.09371096,    -1.00000000
    -0.75630948,    -0.59005571,     1.00000000
     0.00375428,    -0.18094732,    -1.00000000
    -0.37561343,    -0.13345982,     1.00000000
     0.54084396,     0.19468476,    -1.00000000
     0.48659029,     0.23754169,     1.00000000
    -0.42006549,    -0.85277199,    -1.00000000
     0.86046841,     0.19918238,     1.00000000
     0.30304568,    -0.97102556,    -1.00000000
    -0.62886218,    -0.21393125,     1.00000000
    -0.38257899,    -0.33790213,    -1.00000000
     0.56209974,    -0.92940563,     1.00000000
     0.97267974,     0.57365936,    -1.00000000
    -0.40571245,     0.41161439,     1.00000000
     0.48646510,    -0.86699233,    -1.00000000
    -0.42061396,     0.99882113,     1.00000000
