x,y,charge
    -0.37757580,     0.66740847,    -1.00000000
     0.17107699,     0.58811494,     1.00000000
    -0.58653573,     0.09942557,    -1.00000000
    -0.15719009,     0.04038294,     1.00000000
    -0.09990452,    -0.66571936,    -1.00000000
     0.37994892,    -0.02208898,     1.00000000
    -2.35716013,   -48.77068767,    -1.00000000
     0.99394432,    -0.39335827,     1.00000000
    -0.11035752,    -0.94850802,    -1.00000000
    -0.57844580,    -0.77445310,     1.00000000
    -0.08400126,     0.64352980,    -1.00000000
     0.59031308,    -0.17811487,     1.00000000
    -0.85994816,     0.29532940,    -1.00000000
    -0.96683998,     0.30129266,     1.00000000
     0.01479079,    -0.18787729,    -1.00000000
    -0.44910018,    -0.26544591,     1.00000000
     0.32224229,     0.44379587,    -1.00000000
     0.15027383,    -0.97330630,     1.00000000
     0.99516375,     0.99914240,    -1.00000000
    -0.40227326,     0.74830182,     1.00000000
     0.93452250,     0.24198161,    -1.00000000
    -0.43098286,     0.42366583,     1.00000000
     0.67023402,    -0.16127116,    -1.00000000
    -0.69771640,    -0.30843528,     1.00000000
     0.12363004,     0.99742268,    -1.00000000
    -1.32445836,   -48.95582815,     1.00000000
    -0.06103177,     0.11773721,    -1.00000000
    -0.08356596,     0.19386663,     1.00000000
    -0.47161927,     0.41884509,    -1.00000000
    -0.36070888,    -0.92456289,     1.00000000
     0.22916702,    -0.74275929,    -1.00000000
    -0.82921411,     0.87398835,     1.00000000
     0.89809361,    -0.75263515,    -1.00000000
    -0.80704652,     0.14853229,     1.00000000
    -0.57180117,    -0.87549167,    -1.00000000
    -0.97939646,    -0.80926230,     1.00000000
     0.59406989,     0.94456889,    -1.00000000
     0.47450694,     0.92023826,     1.00000000
     0.95326778,    -0.03342265,    -1.00000000
     0.72725922,    -0.49653556,     1.00000000
    -0.73594320,    -0.38508244,    -1.00000000
     0.46669658,     0.43803042,     1.00000000
     0.07594161,     0.31554936,    -1.00000000
     0.36526679,    -0.18636516,     1.00000000
    -0.33686809,    -0.48294997,    -1.00000000
     0.08710873,    -0.70515998,     1.00000000
     0.99798817,     0.65115957,    -1.00000000
     0.21679017,     0.13559621,     1.00000000
    -0.45621971,     0.43221314,    -1.00000000
    -0.71133645,     0.57798504,     1.00000000
