x,y,charge
     0.52966521,     0.90195366,    -1.00000000
    -0.98778553,     0.27743661,     1.00000000
     0.52081777,     0.52154743,    -1.00000000
     0.97797476,    -0.44177732,     1.00000000
     0.47705896,    -0.88510123,    -1.00000000
     0.26912023,    -0.37621032,     1.00000000
    -0.04034893,     0.78112901,    -1.00000000
    -0.00916458,    -0.03773091,     1.00000000
   -41.21547447,     0.10183369,    -1.00000000
    -0.24814111,    -0.92680443,     1.00000000
     0.03821214,     0.28411683,    -1.00000000
     0.87287876,     0.58956275,     1.00000000
     0.39666210,    -0.30740184,    -1.00000000
    -0.56676062,    -0.62724477,     1.00000000
    -0.76756430,    -0.81821300,    -1.00000000
     0.12646250,    -0.94536914,     1.00000000
    -0.61513105,    -0.73108944,    -1.00000000
     0.53872347,    -0.95431255,     1.00000000
    -0.11266875,     0.98666666,    -1.00000000
     0.13844015,    -0.03668024,     1.00000000
     0.28736017,    -0.36085634,    -1.00000000
    -0.61576657,     0.04408595,     1.00000000
     0.42754740,    -0.79436063,    -1.00000000
    -0.05558669,     0.72439864,     1.00000000
    -0.81810008,     0.55199001,    -1.00000000
     0.07331163,     0.32164981,     1.00000000
    -0.59075861,     0.75096266,    -1.00000000
    -0.18175221,     0.06598424,     1.00000000
    -0.67383069,     0.30080225,    -1.00000000
   -37.54258245,    -0.48822940,     1.00000000
    -0.89469809,     0.92114324,    -1.00000000
     0.87733616,     0.36810681,     1.00000000
     0.51817402,     0.00907381,    -1.00000000
    -0.03385932,    -0.34476077,     1.00000000
     0.43061214,    -1.12322606,    -1.00000000
    -0.99999004,    -0.99954554,     1.00000000
    -0.01098817,    -0.68909601,    -1.00000000
     0.89872565,    -0.27309920,     1.00000000
     0.89186419,     0.44652558,    -1.00000000
    -0.86373349,    -0.44012871,     1.00000000
    -0.03514981,     0.19391364,    -1.00000000
    -0.41927418,     0.94081716,     1.00000000
    -0.83920069,    -0.35535723,    -1.00000000
    -0.38755680,    -0.25766152,     1.00000000
     0.92136597,     0.74032954,    -1.00000000
     0.24110041,    -0.55226564,     1.00000000
    -0.41503412,    -0.73179658,    -1.00000000
    -0.77962207,     0.50342821,     1.00000000
    -0.33023326,     0.51678056,    -1.00000000
    -0.83908164,     0.71032834,     1.00000000
