x,y,charge
     0.85354548,    -0.14448166,    -1.00000000
     0.16780220,     0.68502885,     1.00000000
     0.49491307,    -0.38659078,    -1.00000000
    -0.05562545,     0.97881502,     1.00000000
     0.33259395,     0.17608990,    -1.00000000
    -0.98514438,     0.47263311,     1.00000000
     0.29580129,    -0.98947523,    -1.00000000
    -0.62172845,    -0.36603778,     1.00000000
     0.98289985,    -0.70889804,    -1.00000000
     0.33706262,    -0.53799667,     1.00000000
    -0.26823766,    -0.01023648,    -1.00000000
     0.33034179,    -0.18999571,     1.00000000
    -0.38721481,    -0.58710318,    -1.00000000
    -0.92029002,    -0.24216417,     1.00000000
     0.55934411,    -0.23032086,    -1.00000000
     0.30799026,     0.17922978,     1.00000000
     0.74565939,    -0.91205152,    -1.00000000
     0.78471708,    -0.11846092,     1.00000000
    -0.34223264,     0.02208504,    -1.00000000
    -0.19403450,    -0.93929403,     1.00000000
     0.39178340,    -0.07104678,    -1.00000000
     0.56901409,    -0.44862433,     1.00000000
     0.20151841,     0.85524781,    -1.00000000
    -0.37002795,    -0.76815827,     1.00000000
     0.46516302,     0.54787282,    -1.00000000
    -0.66094429,    -0.96627308,     1.00000000
     0.04036663,     0.18446631,    -1.00000000
    -0.46339683,     0.69744330,     1.00000000
    -0.43700577,    -0.97159381,    -1.00000000
    -0.61729989,     0.24105540,     1.00000000
     0.92793037,     0.33661170,    -1.00000000
    -0.99363205,     0.77524901,     1.00000000
     0.25700215,    -0.22043340,    -1.00000000
     0.27429968,     0.57114700,     1.00000000
    -0.26387093,     0.72218322,    -1.00000000
     0.60893623,    -0.03705247,     1.00000000
     0.08938405,     0.21929836,    -1.00000000
    -0.86715185,     0.25483765,     1.00000000
     0.94424025,     0.93621048,    -1.00000000
     0.74993705,    -0.25361659,     1.00000000
    -0.81936761,    -0.47984798,    -1.00000000
     0.18617944,     0.94914133,     1.00000000
     0.52912406,    -0.90896165,    -1.00000000
     0.98083257,     0.67843670,     1.00000000
    -0.01786396,     0.66678402,    -1.00000000
    -0.87988722,     0.98214261,     1.00000000
     0.99381380,     0.65687925,    -1.00000000
    -0.10030181,    -0.21616582,     1.00000000
    -0.52293676,    -0.16498146,    -1.00000000
    -0.42166553,     0.99388795,     1.00000000
