x,y,charge
     0.50796758,     0.90831643,    -1.00000000
    -0.96211749,     0.31406340,     1.00000000
     0.52494124,     0.47968176,    -1.00000000
     0.99439199,    -0.51603559,     1.00000000
     0.53102620,    -0.97740581,    -1.00000000
    -0.19573364,     0.58507510,     1.00000000
    -0.59941345,    -0.72299074,    -1.00000000
    -0.02900396,     0.05889382,     1.00000000
   -21.21511743,     0.10177628,    -1.00000000
    -0.34282647,    -0.78796636,     1.00000000
    -2.85028838,    -0.02173357,    -1.00000000
     0.81377678,     0.75180918,     1.00000000
     0.38505104,    -0.32386400,    -1.00000000
    -0.86540257,    -0.10430320,     1.00000000
    -0.92816277,    -0.93451829,    -1.00000000
     0.15678390,    -0.90982390,     1.00000000
    -0.20838666,    -0.68568168,    -1.00000000
    -0.44006789,     0.34191328,     1.00000000
     0.16993616,     0.94323240,    -1.00000000
     0.37200719,    -0.02850743,     1.00000000
     0.74536083,     0.63622855,    -1.00000000
    -0.63792659,     0.17927141,     1.00000000
     0.13949950,    -0.29102962,    -1.00000000
    -0.21809516,     0.99597866,     1.00000000
    -0.72958431,     0.46472194,    -1.00000000
     0.01526435,    -0.36536358,     1.00000000
    -0.72661010,     0.76117662,    -1.00000000
     0.35432499,     0.44965259,     1.00000000
    -0.58771923,     0.00526730,    -1.00000000
   -17.54293968,    -0.48817198,     1.00000000
    -0.82744654,     0.65903299,    -1.00000000
     0.67312681,    -0.33943337,     1.00000000
     0.41253670,    -0.00918828,    -1.00000000
     0.02289150,    -0.42908829,     1.00000000
    -0.70665604,     0.20763556,    -1.00000000
    -0.87643044,    -0.88939307,     1.00000000
     0.00105444,    -0.66689623,    -1.00000000
     0.83706672,    -0.18957205,     1.00000000
     0.95333823,     0.48266069,    -1.00000000
    -0.86822284,    -0.44567764,     1.00000000
    -0.19617347,    -0.07979512,    -1.00000000
    -0.47508375,     0.89690985,     1.00000000
     0.95136614,    -0.90132773,    -1.00000000
    -0.42862654,    -0.29488863,     1.00000000
     0.88036156,     0.70831415,    -1.00000000
     0.49721474,    -0.98570420,     1.00000000
    -0.28802572,    -0.79191878,    -1.00000000
    -0.95459425,     0.92769178,     1.00000000
    -0.34458868,     0.51500354,    -1.00000000
    -0.59567440,     0.68539961,     1.00000000
