x,y,charge
     0.49052976,     0.89972944,    -1.00000000
    -7.29956825,   -40.43560604,     1.00000000
     0.91003079,     0.05359418,    -1.00000000
     0.99236335,    -0.43986053,     1.00000000
     0.09117598,    -0.91744709,    -1.00000000
     0.33394503,    -0.62159953,     1.00000000
    -0.44851817,    -0.40804450,    -1.00000000
    -0.08139059,    -0.17594516,     1.00000000
    -0.98233110,     0.43436495,    -1.00000000
     0.63488851,    -0.75184483,     1.00000000
     0.92981053,    -0.55850339,    -1.00000000
     0.77013458,    -0.79247967,     1.00000000
    -0.62173424,    -0.46150119,    -1.00000000
    -0.94954080,    -0.11258613,     1.00000000
    -0.86530252,    -0.84786833,    -1.00000000
    -0.11452131,    -0.99640098,     1.00000000
    -0.69188826,    -0.35099328,    -1.00000000
    -0.47050809,     0.45294752,     1.00000000
    -0.98140516,     0.90624513,    -1.00000000
     0.99185549,    -0.05438297,     1.00000000
     0.34111982,    -0.62060701,    -1.00000000
    -0.80514041,     0.14336679,     1.00000000
     0.31646361,    -0.37673222,    -1.00000000
     0.71177743,     0.85178239,     1.00000000
    -7.42050524,   -37.69543920,    -1.00000000
     0.63241263,    -0.54337785,     1.00000000
    -0.73330330,    -0.07183956,    -1.00000000
    -0.20540840,     0.79873562,     1.00000000
    -0.68233817,    -0.00472823,    -1.00000000
    -0.17176586,    -0.70370118,     1.00000000
     0.39507971,     0.00527713,    -1.00000000
     0.64008649,    -0.26341771,     1.00000000
     0.07827566,    -0.14128708,    -1.00000000
    -0.59025207,    -0.47150669,     1.00000000
    -0.57747641,     0.35907093,    -1.00000000
     0.14312784,    -0.19950092,     1.00000000
     0.32968503,    -0.35875055,    -1.00000000
     0.47873087,     0.40832141,     1.00000000
     0.87735799,     0.30645502,    -1.00000000
    -0.80763032,    -0.58811414,     1.00000000
    -0.12859535,     0.16039181,    -1.00000000
     0.89617248,     0.15116735,     1.00000000
     0.23962577,    -0.92295141,    -1.00000000
     0.14598744,    -0.01244378,     1.00000000
     0.82208014,     0.92327448,    -1.00000000
    -0.12353664,     0.09198815,     1.00000000
    -0.72137666,    -0.90632792,    -1.00000000
    -0.70382716,     0.80689288,     1.00000000
     0.21209679,     0.22278414,    -1.00000000
     0.00150773,     0.98979276,     1.00000000
