x,y,charge
     0.44638208,     0.90576496,    -1.00000000
     0.57775579,     0.63086202,     1.00000000
     0.48853655,     0.60045936,    -1.00000000
     0.22507206,    -0.20014713,     1.00000000
     0.42595203,    -0.92206961,    -1.00000000
     0.37378749,    -0.73548346,     1.00000000
     0.82022565,     0.84962184,    -1.00000000
    -0.47501879,     0.02417492,     1.00000000
     0.69194684,     0.36736042,    -1.00000000
    -0.12981752,    -0.99194401,     1.00000000
     0.68267497,    -0.70541295,    -1.00000000
    -0.02450458,    -6.66393617,     1.00000000
     0.35619159,     0.32668840,    -1.00000000
     0.68940049,    -0.93310993,     1.00000000
    -0.17616516,     0.06263518,    -1.00000000
    -0.44095212,     0.47150937,     1.00000000
    -1.41517255,    -0.51130590,    -1.00000000
     0.37099170,    -0.96691563,     1.00000000
    -0.77602287,     0.84995664,    -1.00000000
     0.79462978,    -0.80224145,     1.00000000
     0.55644572,     0.02822517,    -1.00000000
    -0.96919580,     0.55395762,     1.00000000
     0.86760524,    -0.17491545,    -1.00000000
     0.14559608,     0.85265126,     1.00000000
    -0.21745735,     0.08112678,    -1.00000000
    -0.38483294,     0.75769168,     1.00000000
    -0.98536153,     0.31457611,    -1.00000000
    -0.09281148,    -0.06961968,     1.00000000
    -0.78970926,     0.15510907,    -1.00000000
     0.97484208,     0.94846748,     1.00000000
    -0.40997996,     0.67668103,    -1.00000000
     0.87239072,    -0.34189467,     1.00000000
     0.78729564,     0.29059348,    -1.00000000
     0.65805463,     0.91738888,     1.00000000
     0.39531278,     0.52207967,    -1.00000000
    -0.99919935,    -0.99257903,     1.00000000
     0.32085402,    -0.86748547,    -1.00000000
    -2.86396712,    -1.61829089,     1.00000000
     0.81838618,     0.33589177,    -1.00000000
     0.84555559,    -0.75714384,     1.00000000
     0.60268179,     0.61557222,    -1.00000000
    -0.19118883,     0.97185160,     1.00000000
    -0.51031035,    -0.14218927,    -1.00000000
    -0.50855966,    -0.08626101,     1.00000000
     0.92815116,     0.84153514,    -1.00000000
     0.03288837,    -0.73197085,     1.00000000
    -0.24232563,     0.06562210,    -1.00000000
    -0.79375529,     0.46193524,     1.00000000
    -0.97239210,    -6.19806883,    -1.00000000
    -0.12042278,     0.62992314,     1.00000000
