# Step  Time  Energy
   178      1.7800  -1.03488717E+02
   179      1.7900  -1.88189465E+02
   180      1.8000  -1.24485695E+02
   181      1.8100  -6.31530716E+01
   182      1.8200  -2.08555144E+02
   183      1.8300  -8.89785541E+01
   184      1.8400  -1.25143471E+02
   185      1.8500  -1.53864095E+02
   186      1.8600  -1.37433441E+02
   187      1.8700  -4.29524535E+02
   188      1.8800  -1.88001323E+02
   189      1.8900  -6.41684606E+01
   190      1.9000  -1.77479161E+02
   191      1.9100  -1.47792510E+02
   192      1.9200  -9.58097193E+01
   193      1.9300  -1.37784428E+02
   194      1.9400  -8.16332026E+01
   195      1.9500  -1.97069682E+02
   196      1.9600  -1.21271398E+02
   197      1.9700  -1.56514709E+02
   198      1.9800  -1.14679696E+02
   199      1.9900  -2.96780792E+02
   200      2.0000  -1.13314895E+02
