x,y,charge
    -0.91453169,    -0.36567089,    -1.00000000
     0.15644962,     0.25234465,     1.00000000
    -0.65799952,     0.28603046,    -1.00000000
     0.45184548,     0.08315298,     1.00000000
    -0.08782310,    -0.19898681,    -1.00000000
     0.06319325,    -0.08043606,     1.00000000
    -0.20175048,     0.17002959,    -1.00000000
     0.69298325,     0.57121538,     1.00000000
    -0.83864969,    -0.87527793,    -1.00000000
     0.85526230,    -0.01762550,     1.00000000
     0.01260236,     0.91095560,    -1.00000000
     0.64242062,    -0.67094463,     1.00000000
    -0.18748064,     0.99581732,    -1.00000000
    -0.87207649,    -0.85859054,     1.00000000
     0.51072743,    -0.01361333,    -1.00000000
     0.04861800,    -0.15738120,     1.00000000
    -0.41052828,     0.93217506,    -1.00000000
     0.87451082,    -0.72068978,     1.00000000
    -0.11901985,     0.38894617,    -1.00000000
    -0.29003127,    -0.05645509,     1.00000000
    -0.66742740,     0.40455365,    -1.00000000
    -0.16827641,     0.20994222,     1.00000000
    -0.94869932,     0.10066872,    -1.00000000
    -0.67655151,    -0.18297803,     1.00000000
     0.05107654,    -0.77351655,    -1.00000000
    -0.30021569,     0.01511920,     1.00000000
     0.94527484,    -0.65356678,    -1.00000000
     0.54051464,     0.36009158,     1.00000000
    -0.49571517,     0.04755973,    -1.00000000
     0.79534137,    -0.56368188,     1.00000000
    -0.99652285,     0.83723399,    -1.00000000
     0.87890557,    -0.97921803,     1.00000000
     0.63631460,     0.59947095,    -1.00000000
     0.98889835,    -0.31550868,     1.00000000
    -0.03953859,    -0.52744834,    -1.00000000
    -0.13580125,    -0.90323842,     1.00000000
    -0.03829141,     0.20019503,    -1.00000000
     0.97214907,     0.26374299,     1.00000000
     0.22229709,    -0.50902275,    -1.00000000
    -0.00493399,     0.58768895,     1.00000000
     0.60145082,     0.35425438,    -1.00000000
     0.42727008,     0.77053654,     1.00000000
     0.52926168,     0.01647266,    -1.00000000
    -0.79610741,    -0.56915697,     1.00000000
     0.81919785,    -0.77719758,    -1.00000000
     0.05318524,    -0.20363863,     1.00000000
    -0.47880523,     0.63741731,    -1.00000000
    -0.41694192,    -0.40558247,     1.00000000
     0.40788476,    -0.07760569,    -1.00000000
     0.99166919,     0.46036788,     1.00000000
