x,y,charge
    -0.81980699,    -0.82444770,    -1.00000000
     0.31416415,     0.96332777,     1.00000000
    -0.77031271,     0.68215217,    -1.00000000
    -0.48144153,     0.64656097,     1.00000000
     0.44344660,    -0.21738055,    -1.00000000
     0.19495900,     0.54654563,     1.00000000
    -3.09353180,    -0.09430254,    -1.00000000
     0.94123366,    -0.36409760,     1.00000000
    -0.83782885,     0.14015931,    -1.00000000
    -0.48878130,    -0.71543661,     1.00000000
    -0.92201770,    -0.26969115,    -1.00000000
     0.41895996,    -0.47544861,     1.00000000
    -0.27512277,    -0.93122307,    -1.00000000
     0.36269443,    -1.52920965,     1.00000000
     0.48707432,     0.00108177,    -1.00000000
    -0.79535806,     0.21231454,     1.00000000
     0.44034495,    -0.53692866,    -1.00000000
     0.91849326,    -0.81197649,     1.00000000
     0.90721556,     0.76627725,    -1.00000000
     0.14636150,     0.08819615,     1.00000000
     0.87066472,     0.99135189,    -1.00000000
    -0.76414482,     0.95577111,     1.00000000
     0.41436512,     0.40468278,    -1.00000000
    -0.58515072,    -0.73213776,     1.00000000
     0.35915789,     0.87802516,    -1.00000000
    -0.88034775,    -0.34877318,     1.00000000
     0.43265087,    -0.31476185,    -1.00000000
    -0.14856053,     0.61663906,     1.00000000
    -0.62630982,    -0.07352354,    -1.00000000
    -0.14350983,    -0.65610526,     1.00000000
     0.00487278,    -0.97123140,    -1.00000000
    -0.99226816,     0.87268721,     1.00000000
     0.75353856,    -0.97303539,    -1.00000000
     0.01501848,     0.99439807,     1.00000000
    -0.41380152,    -0.46213235,    -1.00000000
     0.94345465,    -0.08589406,     1.00000000
     0.05808771,     0.02474928,    -1.00000000
    -0.09258699,    -0.05126729,     1.00000000
     0.92584918,     0.85639799,    -1.00000000
     0.22502905,    -0.79941643,     1.00000000
    -0.46523408,    -0.69149618,    -1.00000000
     0.73310408,     0.10442005,     1.00000000
     0.42157734,    -0.99608142,    -1.00000000
   -35.11174701,    -9.72217321,     1.00000000
     0.20696644,    -0.82672710,    -1.00000000
     0.19147700,     0.13424982,     1.00000000
     0.97003225,     0.53955481,    -1.00000000
   -34.43726758,    -6.82265293,     1.00000000
     0.92737493,     0.29058681,    -1.00000000
    -0.44931622,     0.99077632,     1.00000000
