x,y,charge
    -0.96759073,     0.85075421,    -1.00000000
     0.59050586,     0.48461165,     1.00000000
    -0.57375098,     0.13763271,    -1.00000000
    -0.20654919,     0.34380819,     1.00000000
     0.99269285,     0.20309930,    -1.00000000
    -0.08163090,     0.01502548,     1.00000000
    -0.70562815,    -0.11440108,    -1.00000000
     0.45428314,     0.56281854,     1.00000000
     0.87637602,     0.32827127,    -1.00000000
     0.79890013,    -0.05038111,     1.00000000
     0.20884916,     0.84539039,    -1.00000000
     0.58696699,    -0.60590872,     1.00000000
    -0.12022936,     0.99915468,    -1.00000000
    -0.27961811,    -0.67287017,     1.00000000
     0.11417418,    -0.73649782,    -1.00000000
     0.02376053,   -15.98309873,     1.00000000
    -0.44407788,     0.97437559,    -1.00000000
     0.31116206,     0.43478556,     1.00000000
    -0.14871974,     0.37349741,    -1.00000000
    -0.30106167,    -0.10173327,     1.00000000
    -0.68320554,     0.43969141,    -1.00000000
    -0.35763639,     0.10854831,     1.00000000
    -0.95828387,     0.02636247,    -1.00000000
    -0.73573598,    -0.09395698,     1.00000000
    -0.26071203,    -0.35259257,    -1.00000000
     0.76463370,   -13.38401269,     1.00000000
     0.54032562,    -0.59060102,    -1.00000000
     0.51847131,     0.69226026,     1.00000000
    -0.27782291,    -0.12983319,    -1.00000000
    -0.96033033,    -0.64515776,     1.00000000
    -0.99389710,     0.86026188,    -1.00000000
     0.87326235,    -0.98385606,     1.00000000
     0.87870031,     0.43737832,    -1.00000000
     0.96969650,    -0.38802185,     1.00000000
    -0.13420327,    -0.61827849,    -1.00000000
    -0.14084226,    -0.90167199,     1.00000000
    -0.03584188,     0.02335348,    -1.00000000
     0.96898977,     0.24952243,     1.00000000
     0.33728813,    -0.48072378,    -1.00000000
    -0.13179658,     0.57964161,     1.00000000
     0.32661049,     0.47383093,    -1.00000000
     0.26697390,     0.89577852,     1.00000000
     0.87602122,     0.96838997,    -1.00000000
    -0.72281723,    -0.20723441,     1.00000000
     0.79018196,    -0.55799959,    -1.00000000
     0.20695127,    -0.82136061,     1.00000000
    -0.39911104,     0.59881238,    -1.00000000
     0.06201354,    -0.69532267,     1.00000000
     0.97141130,    -0.43486731,    -1.00000000
     0.80602379,     0.26432638,     1.00000000
