x,y,charge
     0.68979809,     0.99254581,    -1.00000000
     0.57563609,     0.58268213,     1.00000000
     0.41020031,     0.62569227,    -1.00000000
     0.10974407,    -0.24329561,     1.00000000
     0.47728658,    -0.90251043,    -1.00000000
     0.27220281,    -0.78296916,     1.00000000
     0.87917908,     0.98507416,    -1.00000000
    -0.36139273,     0.02614773,     1.00000000
     0.74690119,     0.31877522,    -1.00000000
    -0.06859263,    -0.97500335,     1.00000000
     0.66803068,    -0.87228406,    -1.00000000
    -0.50694489,    -0.68136307,     1.00000000
     0.51661697,     0.30504715,    -1.00000000
     0.69101196,    -0.71054636,     1.00000000
    -0.39673058,     0.80381137,    -1.00000000
    -0.26646732,     0.30450170,     1.00000000
    -0.29027127,    -0.55117873,    -1.00000000
     0.31979233,    -0.95796891,     1.00000000
    -0.74182828,     0.89068331,    -1.00000000
    -0.76300085,     0.95138512,     1.00000000
     0.65144535,     0.18285047,    -1.00000000
    -0.96328550,     0.46813566,     1.00000000
     0.83972489,    -0.00029414,    -1.00000000
     0.03891553,     0.72551975,     1.00000000
    -0.45166199,     0.92971654,    -1.00000000
    -0.31584978,     0.79404050,     1.00000000
    -0.99655090,     0.39201776,    -1.00000000
    -0.10925299,    -0.15849535,     1.00000000
    -0.84251997,     0.18764889,    -1.00000000
     0.98468360,     0.96016513,     1.00000000
    -0.15572961,     0.80441572,    -1.00000000
     0.85766812,    -0.43892444,     1.00000000
    -0.97101259,    -0.32482184,    -1.00000000
     0.42755108,     0.95674929,     1.00000000
    -0.23790251,     0.91924485,    -1.00000000
    -0.98715526,    -0.98312776,     1.00000000
    -0.75550459,     0.95056044,    -1.00000000
    -0.27187110,    -0.27384624,     1.00000000
     0.99830323,     0.33843429,    -1.00000000
    -0.95120331,    -0.56832537,     1.00000000
    -0.25799521,    -0.88127661,    -1.00000000
    -0.26915973,    -0.88557908,     1.00000000
    -0.49212771,    -0.10132616,    -1.00000000
    -0.53457412,    -0.20354591,     1.00000000
     0.91783691,     0.74766645,    -1.00000000
     0.07541101,    -0.78138529,     1.00000000
    -0.39625099,     0.43113423,    -1.00000000
    -0.02571404,     0.95473559,     1.00000000
    -0.50323377,    -0.85656177,    -1.00000000
    -0.08281885,     0.49473574,     1.00000000
