x,y,charge
     0.24393956,    -0.20485540,    -1.00000000
    -0.11052176,     0.69303849,     1.00000000
     0.25619628,     0.90836835,    -1.00000000
     0.12648136,     0.91350390,     1.00000000
    -0.92108715,     0.10563848,    -1.00000000
    -0.97859879,     0.41337502,     1.00000000
     0.33470578,    -0.83498058,    -1.00000000
    -0.39960332,     0.85179554,     1.00000000
     0.68649335,    -0.92487666,    -1.00000000
     0.26022582,    -0.28637501,     1.00000000
     0.45005335,    -0.35609363,    -1.00000000
     0.68841234,    -0.94869934,     1.00000000
    -0.25909285,    -0.21291377,    -1.00000000
   -19.66345163,   -29.69488992,     1.00000000
    -0.23267535,     0.91730122,    -1.00000000
     0.52861908,    -0.09491495,     1.00000000
     0.95045922,    -0.67747177,    -1.00000000
     0.94192012,     0.22373599,     1.00000000
    -0.91527465,     0.57628436,    -1.00000000
    -0.33840143,    -0.97561160,     1.00000000
    -0.73972583,     0.04814131,    -1.00000000
     0.62767360,    -0.59101524,     1.00000000
     0.81404551,     0.84421225,    -1.00000000
     0.94833298,    -0.61613574,     1.00000000
    -0.19290617,     0.53450975,    -1.00000000
    -0.34001761,    -0.78482286,     1.00000000
    -0.38435008,     0.09295531,    -1.00000000
    -0.30298904,     0.88932315,     1.00000000
    -0.64635332,    -0.94945730,    -1.00000000
    -0.58024867,    -0.76548825,     1.00000000
     0.96511059,     0.08922206,    -1.00000000
    -0.99604443,     0.74807325,     1.00000000
     0.37018048,     0.61450202,    -1.00000000
     0.86806042,     0.75573035,     1.00000000
    -0.43492113,     0.47248288,    -1.00000000
     0.31061942,    -0.74110664,     1.00000000
     0.53584309,     0.49150283,    -1.00000000
    -0.86581315,     0.14595066,     1.00000000
     0.99395077,     0.99222829,    -1.00000000
     0.47100478,     0.31077731,     1.00000000
   -19.37212650,   -30.97382091,    -1.00000000
     0.41539103,     0.54067053,     1.00000000
     0.56590836,     0.79856463,    -1.00000000
    -0.04592871,    -0.79477192,     1.00000000
    -0.10531853,     0.32816280,    -1.00000000
    -0.84289013,     0.99169803,     1.00000000
     0.35567013,     0.04217061,    -1.00000000
    -0.58798305,     0.02984948,     1.00000000
    -0.27346586,    -0.91979386,    -1.00000000
    -0.33245181,     0.95788363,     1.00000000
