x,y,charge
     0.57123385,     0.65327341,    -1.00000000
     0.01174126,     0.88044930,     1.00000000
    -0.48097690,     0.17001491,    -1.00000000
     0.97331093,     0.00964265,     1.00000000
    -0.24265709,    -0.24697750,    -1.00000000
    -0.68302475,     0.06005391,     1.00000000
   -21.49668019,    -1.12600203,    -1.00000000
     0.92846126,    -0.35561778,     1.00000000
     0.11578146,    -0.91921895,    -1.00000000
    -0.45262554,    -0.77971176,     1.00000000
     0.01506734,     0.60149996,    -1.00000000
     0.59791603,    -0.25454695,     1.00000000
    -0.64807899,     0.23849454,    -1.00000000
    -0.94266652,     0.36999018,     1.00000000
    -0.85796667,    -0.68300255,    -1.00000000
    -0.52332983,    -0.29623757,     1.00000000
    -0.41844467,     0.99524113,    -1.00000000
    -0.26301327,     0.01814084,     1.00000000
     0.93600441,     0.93401030,    -1.00000000
    -0.41423640,     0.83946117,     1.00000000
    -0.89336408,    -0.15901757,    -1.00000000
    -0.40072988,     0.30221207,     1.00000000
    -0.91801192,    -0.16577759,    -1.00000000
    -0.00698532,     0.96901316,     1.00000000
     0.24578299,     0.96164444,    -1.00000000
    -0.60434061,    -0.95584224,     1.00000000
     0.06924987,    -0.01882873,    -1.00000000
    -0.26978761,    -0.26896911,     1.00000000
    -0.71225980,    -0.38613200,    -1.00000000
    -0.81312110,    -0.40320257,     1.00000000
     0.27114545,     0.29681770,    -1.00000000
    -0.91287995,    -0.11128832,     1.00000000
     0.71573064,    -0.50524125,    -1.00000000
    -0.81397019,    -0.67022019,     1.00000000
    -0.23284497,    -0.92855134,    -1.00000000
    -0.42158095,    -0.91574628,     1.00000000
    -0.27714749,    -0.11346006,    -1.00000000
     0.00929354,     0.94821767,     1.00000000
     0.68801930,     0.48906532,    -1.00000000
     0.78289355,    -0.27609283,     1.00000000
    -0.64231479,    -0.37925518,    -1.00000000
     0.79346043,    -0.57254763,     1.00000000
     0.79904694,    -0.85218268,    -1.00000000
   -24.26806577,    -1.45810772,     1.00000000
    -0.61960505,    -0.21042819,    -1.00000000
    -0.92270282,    -0.71391171,     1.00000000
     0.96956475,    -0.01873892,    -1.00000000
     0.31993822,     0.31941393,     1.00000000
     0.10387701,     0.31591907,    -1.00000000
    -0.04668259,     0.36129709,     1.00000000
