x,y,charge
     0.89944896,    -0.10291598,    -1.00000000
    -0.07032020,     0.65208166,     1.00000000
     0.74679475,     0.23796249,    -1.00000000
    -0.20247843,     0.94793917,     1.00000000
     0.37934261,     0.25755809,    -1.00000000
    -0.92452912,    -0.23073550,     1.00000000
     0.41626523,    -0.97353580,    -1.00000000
    -0.65221334,    -0.29861274,     1.00000000
    -0.77215429,     0.51134561,    -1.00000000
     0.41754761,    -0.68291498,     1.00000000
    -0.23385239,    -0.08298669,    -1.00000000
     0.09346822,    -0.73672733,     1.00000000
    -0.35983423,    -0.55558637,    -1.00000000
    -0.09317605,    -0.14897401,     1.00000000
     0.58753835,     0.02852823,    -1.00000000
    -0.24476406,    -0.00017584,     1.00000000
     0.74535393,    -0.90480644,    -1.00000000
     0.56421255,    -0.18048044,     1.00000000
     0.46981283,     0.79655844,    -1.00000000
     0.04718743,    -0.76618864,     1.00000000
     0.61488389,     0.97395918,    -1.00000000
    -0.78189180,     0.64700227,     1.00000000
     0.32348580,     0.99546731,    -1.00000000
    -0.99529746,    -0.92111963,     1.00000000
     0.51431653,     0.46612646,    -1.00000000
    -0.67534988,    -0.97533672,     1.00000000
     0.01701868,    -0.20957860,    -1.00000000
    -0.52137116,     0.78454077,     1.00000000
    -0.92474213,    -0.19213307,    -1.00000000
    -0.71362192,     0.31677066,     1.00000000
     0.90739138,     0.36483178,    -1.00000000
    -0.95723183,     0.81325461,     1.00000000
     0.30197093,    -0.20584323,    -1.00000000
     0.17873595,     0.77963481,     1.00000000
     0.17016246,     0.69809415,    -1.00000000
     0.29126784,     0.02587352,     1.00000000
     0.38771217,    -0.08482452,    -1.00000000
    -0.60380016,     0.13949911,     1.00000000
     0.95553532,     0.99943999,    -1.00000000
     0.46370872,     0.94134914,     1.00000000
    -0.83403460,    -0.53782161,    -1.00000000
     0.77409844,     0.22209174,     1.00000000
     0.38671756,    -0.44910323,    -1.00000000
    -3.03355616,     0.59029862,     1.00000000
     0.08157543,     0.40957339,    -1.00000000
    -0.88033657,     0.99521606,     1.00000000
     0.97515793,     0.71684714,    -1.00000000
     0.80207428,     0.82322465,     1.00000000
    -0.76536590,     0.03978210,    -1.00000000
    -0.46352125,     0.97476260,     1.00000000
