x,y,charge
     0.46657516,    -0.37633532,    -1.00000000
     0.41165226,     0.25224630,     1.00000000
     0.83480369,     0.77684794,    -1.00000000
   -20.48050349,   -12.33984190,     1.00000000
     0.24951335,     0.81180550,    -1.00000000
    -0.22575054,    -0.02121272,     1.00000000
     0.90274246,     0.13895634,    -1.00000000
    -0.41011495,    -0.03159000,     1.00000000
     0.86453789,     0.61375912,    -1.00000000
    -0.20038182,    -0.99986862,     1.00000000
     0.92838619,    -0.85905771,    -1.00000000
    -0.34292456,    -0.77063432,     1.00000000
     0.51923757,     0.40862262,    -1.00000000
    -0.00537318,    -0.35943415,     1.00000000
     0.70098303,     0.31293041,    -1.00000000
    -0.86838067,    -0.41977845,     1.00000000
    -0.43185139,    -0.84501424,    -1.00000000
     0.85015098,     0.21362870,     1.00000000
    -0.99197673,     0.96061108,    -1.00000000
    -0.69518474,     0.61884018,     1.00000000
    -0.92833370,     0.52735654,    -1.00000000
    -0.63401087,     0.39324291,     1.00000000
     0.20435447,     0.51396496,    -1.00000000
    -0.07629436,    -0.01119912,     1.00000000
     0.61072649,    -0.13965926,    -1.00000000
    -0.53267843,     0.39435080,     1.00000000
    -0.83424955,    -0.64572474,    -1.00000000
     0.91071542,    -0.73475265,     1.00000000
    -0.44730198,     0.45324113,    -1.00000000
    -0.01555779,    -0.62175300,     1.00000000
    -0.73276321,     0.78242092,    -1.00000000
     0.31435509,    -0.25991046,     1.00000000
    -0.92465126,    -0.07902656,    -1.00000000
     0.57337318,     0.61859308,     1.00000000
    -0.74350687,    -0.07737332,    -1.00000000
    -0.94110394,    -0.95379885,     1.00000000
    -0.19662885,     0.56458441,    -1.00000000
     0.37981167,    -0.79653382,     1.00000000
    -0.06661345,     0.15654080,    -1.00000000
    -0.90397598,     0.39851796,     1.00000000
     0.68602306,     0.59315911,    -1.00000000
    -0.37421617,    -0.49980594,     1.00000000
     0.41226957,     0.30292440,    -1.00000000
    -0.87999400,    -0.02876681,     1.00000000
     0.65593552,     0.02764224,    -1.00000000
     0.21872719,     0.46378117,     1.00000000
   -17.63191311,   -10.31711564,    -1.00000000
     0.65833020,     0.76006294,     1.00000000
    -0.99014802,    -0.52331135,    -1.00000000
     0.71988726,     0.17026460,     1.00000000
