x,y,charge
    -0.18193114,    -0.10394007,    -1.00000000
    -0.17030382,     0.79913136,     1.00000000
    -0.77837302,     0.90581271,    -1.00000000
    -0.58372299,     0.43871597,     1.00000000
     0.18869617,     0.20380399,    -1.00000000
    -0.18868819,    -0.01086874,     1.00000000
     0.39246580,    -0.03430117,    -1.00000000
    -0.62465496,    -0.20554258,     1.00000000
    -0.79760382,     0.48856361,    -1.00000000
     0.23441180,    -0.59820838,     1.00000000
    -0.42139853,     0.15070266,    -1.00000000
     0.54531497,    -0.77693531,     1.00000000
    -0.31791972,    -0.56768180,    -1.00000000
     0.07604559,    -0.03332918,     1.00000000
     0.58486088,     0.05102880,    -1.00000000
    -0.57987001,    -0.08098634,     1.00000000
     0.65343453,    -0.24396377,    -1.00000000
     0.64115705,    -0.41142496,     1.00000000
     0.83392767,     0.59863938,    -1.00000000
    -0.01566906,    -0.23797064,     1.00000000
     0.42914962,     0.94925559,    -1.00000000
    -0.76691160,     0.65558016,     1.00000000
     0.34288941,     0.79939586,    -1.00000000
    -0.89748997,    -0.71396703,     1.00000000
     0.52036277,     0.45445927,    -1.00000000
    -0.73137142,    -0.98727861,     1.00000000
     0.15631465,    -0.36926594,    -1.00000000
    -0.03732306,     0.45335728,     1.00000000
    -0.62030158,     0.32554014,    -1.00000000
    -0.22919094,    -0.19502739,     1.00000000
   -10.82978207,     0.55975921,    -1.00000000
    -0.99366765,     0.83903598,     1.00000000
     0.36342977,    -0.61511313,    -1.00000000
     0.20874997,     0.98917695,     1.00000000
    -0.56555858,    -0.29313209,    -1.00000000
    -8.79222763,     0.87387238,     1.00000000
    -0.12146449,     0.30139884,    -1.00000000
    -0.57160018,    -0.28222396,     1.00000000
     0.99038285,     0.99358092,    -1.00000000
     0.33884870,     0.69388534,     1.00000000
    -0.91785487,    -0.77382993,    -1.00000000
     0.87487912,     0.14913551,     1.00000000
     0.48744787,    -0.94930269,    -1.00000000
     0.59617526,    -0.67865242,     1.00000000
     0.38433976,     0.73160098,    -1.00000000
     0.42141747,     0.10890446,     1.00000000
     0.99542512,     0.66015122,    -1.00000000
     0.70462681,     0.91476495,     1.00000000
    -0.98250737,     0.12727815,    -1.00000000
    -0.48447918,     0.99745460,     1.00000000
