x,y,charge
     0.65029405,    -0.30183481,    -1.00000000
    -0.35144085,     0.40033872,     1.00000000
     0.83122976,    -0.17609962,    -1.00000000
    -0.25328535,     0.54541811,     1.00000000
    -0.78916710,     0.66229444,    -1.00000000
    -0.93024224,     0.67400784,     1.00000000
     0.32772475,    -0.30404129,    -1.00000000
     0.92711349,     0.73228975,     1.00000000
     0.79737631,     0.55750900,    -1.00000000
     0.03900710,    -0.09970120,     1.00000000
     0.42824040,    -0.55407132,    -1.00000000
    -0.59473543,     0.10227661,     1.00000000
    -0.14145466,    -0.49772274,    -1.00000000
     0.18928479,    -0.35858889,     1.00000000
    -0.05414001,     0.21312523,    -1.00000000
    -0.02634631,     0.21874015,     1.00000000
   -12.37966611,    -0.57474528,    -1.00000000
     0.83481519,    -0.26868282,     1.00000000
    -0.21751695,     0.42526184,    -1.00000000
    -0.55048776,    -0.14367788,     1.00000000
    -0.53097949,     0.36818177,    -1.00000000
     0.52881923,    -0.46158904,     1.00000000
     0.04380511,     0.61208810,    -1.00000000
     0.99628091,    -0.93355303,     1.00000000
     0.44863111,     0.76861860,    -1.00000000
    -0.39581631,     0.41271245,     1.00000000
    -0.77370632,    -0.21754152,    -1.00000000
    -0.39851979,     0.78989948,     1.00000000
    -0.90213480,     0.09503192,    -1.00000000
    -0.55960123,    -0.53625653,     1.00000000
     0.97910357,    -0.75261171,    -1.00000000
    -0.94458566,     0.95335326,     1.00000000
    -0.93595169,     0.73017953,    -1.00000000
     0.54243039,     0.07751787,     1.00000000
    -0.43542388,     0.94299096,    -1.00000000
    -0.24030464,    -0.90873186,     1.00000000
     0.67404337,     0.30433724,    -1.00000000
    -0.87496864,    -0.14702116,     1.00000000
     0.88418656,     0.86225576,    -1.00000000
     0.75184637,     0.47281745,     1.00000000
     0.84074163,     0.75178161,    -1.00000000
    -0.67246830,     0.87739929,     1.00000000
    -8.71387989,     0.50097750,    -1.00000000
    -0.01222833,    -0.71224251,     1.00000000
    -0.14254638,     0.04407777,    -1.00000000
    -0.95239723,     0.98361341,     1.00000000
     0.94237668,    -0.15738141,    -1.00000000
     0.77138897,    -0.85386983,     1.00000000
    -0.37914414,    -0.93126260,    -1.00000000
    -0.38278376,     0.14910853,     1.00000000
