x,y,charge
    -0.41096920,    -0.71551852,    -1.00000000
     0.23993870,     0.25516481,     1.00000000
    -0.29199313,    -0.36984782,    -1.00000000
     0.45115772,     0.15994979,     1.00000000
    -0.02204748,    -0.14585266,    -1.00000000
     0.47009046,    -0.07072989,     1.00000000
    -0.21644395,     0.30622605,    -1.00000000
     0.12397161,     0.78201629,     1.00000000
    -0.47156011,     0.85703139,    -1.00000000
     0.86382816,     0.01892463,     1.00000000
    -0.07943756,     0.92983180,    -1.00000000
     0.39182212,    -0.60193184,     1.00000000
    -5.28592488,    -4.39653140,    -1.00000000
    -0.95537961,    -0.84441754,     1.00000000
     0.47422401,    -0.17945198,    -1.00000000
    -0.08875661,    -0.18967153,     1.00000000
    -0.44299254,    -3.13794093,    -1.00000000
    -0.63893553,    -0.42454653,     1.00000000
    -0.22984456,     0.06306291,    -1.00000000
    -0.47461865,     0.83488177,     1.00000000
    -0.65078890,     0.44491185,    -1.00000000
    -0.17975332,    -0.67973947,     1.00000000
    -0.91149800,     0.14881334,    -1.00000000
    -0.62488138,    -0.12455119,     1.00000000
     0.05805584,    -0.69691460,    -1.00000000
    -0.32485446,     0.18473589,     1.00000000
     0.45531448,    -0.52441290,    -1.00000000
     0.71426064,     0.34253634,     1.00000000
    -0.65497538,    -0.21101933,    -1.00000000
     0.53935705,    -0.27553452,     1.00000000
     0.15303195,     0.78104192,    -1.00000000
     0.91737379,    -0.88952913,     1.00000000
    -3.26350033,     0.61149883,    -1.00000000
     0.71209221,    -0.97522111,     1.00000000
    -0.25456808,    -0.89925835,    -1.00000000
    -0.58819554,    -0.71557667,     1.00000000
     0.43367966,    -0.60549601,    -1.00000000
    -6.84047209,     0.81520938,     1.00000000
     0.52756672,    -0.77650872,    -1.00000000
    -0.23640290,     0.58962175,     1.00000000
     0.44825623,     0.43828527,    -1.00000000
     0.49209763,     0.74389697,     1.00000000
     0.59657711,    -0.19739741,    -1.00000000
    -0.90113894,    -0.46997873,     1.00000000
     0.67287513,    -0.73316499,    -1.00000000
     0.93420036,    -0.57063347,     1.00000000
    -0.18338343,     0.58236549,    -1.00000000
    -0.32385760,    -0.28612266,     1.00000000
    -0.61460152,    -0.42994724,    -1.00000000
    -3.04660196,    -3.56207230,     1.00000000
