x,y,charge
    -0.78025860,    -0.81510955,    -1.00000000
    -0.36775577,     0.33375366,     1.00000000
    -0.83948158,     0.57349208,    -1.00000000
    -0.40915523,     0.73514478,     1.00000000
    -0.12110722,    -0.79878249,    -1.00000000
     0.03969686,     0.61005132,     1.00000000
     0.78759909,    -0.69052153,    -1.00000000
     0.99647020,    -0.24436411,     1.00000000
    -0.67982441,     0.09089532,    -1.00000000
    -0.64349576,    -0.57350038,     1.00000000
    -0.29396289,     0.25978841,    -1.00000000
     0.49023344,    -0.42864348,     1.00000000
    -0.13897172,    -0.86345598,    -1.00000000
     0.68143480,    -0.24888815,     1.00000000
     0.39460502,    -0.01130438,    -1.00000000
    -0.92573453,     0.06259957,     1.00000000
     0.37193127,    -0.67681795,    -1.00000000
     0.78734372,    -0.63193420,     1.00000000
     0.93591930,     0.97975869,    -1.00000000
     0.96000993,     0.92336026,     1.00000000
     0.87329701,     0.68749108,    -1.00000000
    -0.75560423,     0.95981355,     1.00000000
     0.57400389,     0.45200414,    -1.00000000
    -0.08761459,    -0.38005197,     1.00000000
     0.50995153,     0.80452873,    -1.00000000
    -0.96340543,    -0.17260496,     1.00000000
     0.36046993,    -0.27368926,    -1.00000000
    -0.17806564,     0.68013164,     1.00000000
    -0.65089102,     0.02239819,    -1.00000000
    -0.14919664,    -0.55329281,     1.00000000
     0.07543862,    -0.92771653,    -1.00000000
    -0.98438056,     0.92571907,     1.00000000
     0.84842774,    -0.83214645,    -1.00000000
    -0.03374108,     0.99368162,     1.00000000
    -0.70124080,    -0.59599860,    -1.00000000
    -0.59722804,    -0.49174930,     1.00000000
     0.19587400,    -0.03816488,    -1.00000000
    -0.15875529,    -0.00731935,     1.00000000
     0.38491027,     0.28835785,    -1.00000000
     0.55224464,     0.17964627,     1.00000000
    -0.97263441,    -0.71638759,    -1.00000000
     0.90367895,    -0.05219571,     1.00000000
     0.36000618,    -0.99761911,    -1.00000000
    -0.63290554,     0.46593750,     1.00000000
    -0.57293753,    -0.48596964,    -1.00000000
     0.28866601,     0.46959924,     1.00000000
     0.99995258,     0.56562880,    -1.00000000
    -0.63653767,     0.46409541,     1.00000000
     0.63039136,     0.30741209,    -1.00000000
    -0.46295533,     0.98910683,     1.00000000
