x,y,charge
     0.27122431,    -0.15590314,    -1.00000000
    -0.22235171,     0.90897559,     1.00000000
     0.63457168,    -0.89725559,    -1.00000000
    -0.00190357,     0.95402260,     1.00000000
    -0.57433759,     0.36699982,    -1.00000000
    -0.97023524,     0.39829563,     1.00000000
     0.18528831,    -0.94904442,    -1.00000000
    -0.75746023,     0.57290488,     1.00000000
     0.78767704,    -0.98684464,    -1.00000000
     0.22169968,    -0.44822948,     1.00000000
     0.35024334,    -0.22519780,    -1.00000000
     0.46738254,    -0.95546053,     1.00000000
    -0.21189182,    -0.22955806,    -1.00000000
   -39.66409368,   -49.69207112,     1.00000000
     0.80872179,    -0.22281174,    -1.00000000
     0.61981058,    -0.07947620,     1.00000000
     0.84191399,    -0.91590325,    -1.00000000
     0.95212436,     0.01390436,     1.00000000
    -0.64825322,     0.70250437,    -1.00000000
    -0.21674294,    -0.95133948,     1.00000000
     0.07641454,     0.35784395,    -1.00000000
     0.67104128,    -0.52634340,     1.00000000
     0.78135176,     0.86828695,    -1.00000000
     0.85408753,    -0.47990270,     1.00000000
     0.40099906,     0.58451325,    -1.00000000
    -0.39435959,    -0.93022987,     1.00000000
    -0.24156511,     0.05013710,    -1.00000000
    -0.53274619,     0.77333941,     1.00000000
    -0.67684955,    -0.98545506,    -1.00000000
    -0.38793041,    -0.26559273,     1.00000000
     0.93806826,     0.31450166,    -1.00000000
    -0.98765473,     0.75643357,     1.00000000
     0.13873433,     0.43431300,    -1.00000000
     0.34941965,     0.48688876,     1.00000000
    -0.31601624,     0.36932821,    -1.00000000
     0.77704661,    -0.35362794,     1.00000000
     0.29738459,     0.44656279,    -1.00000000
    -0.93370851,     0.25697245,     1.00000000
     0.94131445,     0.95457198,    -1.00000000
     0.50863799,     0.22806451,     1.00000000
   -39.37148445,   -50.97663970,    -1.00000000
     0.07620729,     0.62188503,     1.00000000
     0.42794093,    -0.82908808,    -1.00000000
     0.23066366,    -0.77865005,     1.00000000
    -0.03255424,     0.32767170,    -1.00000000
    -0.86481684,     0.99242793,     1.00000000
    -0.22459971,    -0.03559851,    -1.00000000
    -0.37553955,    -0.18565158,     1.00000000
    -0.37250722,    -0.82985511,    -1.00000000
    -0.36142696,     0.99336837,     1.00000000
